listing_id,date_clean,days_since_launch,weeks_since_launch,status,final_model,final_storage,battery_clean,prompt_grade,grade,price,title,url,description
202233169,2025-09-05,693,100,예약중,Pro Max,,91.0,B,Unknown,1450000,아이폰15 프로맥스 1T,https://web.joongna.com/product/202233169,"모델명: iPhone 15 Pro Max White Titanium 1TB
구성품: 풀박스
구스페리 빛번짐 차단 블랙써클 풀커버 강화유리 휴대폰 카메라 
렌즈 보호필름 1매 같이드려요
배터리 성능: 91%
구매시기: 2023.10
사용기간:12개월
사용감: 거의없음
흠집: 없음 
파손여부: 없음
수리여부: 없음
고장여부: 없음
직거래,택배거래 가능합니다 택포
교환, 환불X 네고가능합니다
중고나라는 안전한 거래 문화를 위해 노력합니다.
사기 예방을 위해 개인정보나 거래 정보를 주고받는 행위는 이용이 제한될 수 있습니다.
안전한 거래를 위해 안심결제를 이용해 주세요."
218862666,2025-09-05,693,100,판매완료,Pro Max,1024.0,,B,Unknown,1500000,아이폰15프로맥스 1테라 내추럴 티타늄 팝니다,https://web.joongna.com/product/218862666,
218981851,2025-09-07,695,100,판매완료,Pro Max,256.0,,S,S (Unopened),1390000,아이폰15프로맥스256 화이트 미개봉,https://web.joongna.com/product/218981851,
219604284,2025-09-18,706,101,판매완료,Normal,128.0,,B,Unknown,450000,아이폰15 블루 128기가 판매.,https://web.joongna.com/product/219604284,
219538735,2025-09-15,703,101,판매완료,Pro,1024.0,,B,Unknown,1400000,아이폰 15 프로 1TB 자급제 (애케플 27.3.5),https://web.joongna.com/product/219538735,
219398820,2025-09-13,701,101,판매완료,Pro,1024.0,,B,Unknown,1500000,아이폰15프로 1테라 (애플케어10.11까지),https://web.joongna.com/product/219398820,
219397228,2025-09-13,701,101,판매완료,Normal,128.0,,B,Unknown,400000,아이폰 15 128gb 블루,https://web.joongna.com/product/219397228,
219320129,2025-09-14,702,101,예약중,Normal,128.0,89.0,A,Unknown,660000,아이폰 15 128GB 블랙 풀박스,https://web.joongna.com/product/219320129,"사전예약 자급제폰 구매하여 1년 11개월 사용했습니다.

구매 후 케이스와 보호필름 사용해서 흠집 기스 없습니다.

배터리 성능 89%

전체적으로 깔끔하고 상태 좋습니다.

남은 투명 케이스랑 아이폰 박스도 같이 드려요!

직거래는 명지대 자연캠 or 기흥역입니다
택배거래도 가능해요"
220201857,2025-09-30,718,103,예약중,Normal,128.0,90.0,A,Unknown,540000,아이폰15 블랙 128팝니다,https://web.joongna.com/product/220201857,"아이폰15 128기가 블랙팝니다
배터리 성능 90% 최초 사용일 24년 9월입니다
박스안 구성품 미사용 풀박스
액정과 뒷판은 흠집 하나도 없습니다
마지막 사진에 보시다시피 오른쪽 밑에만 살짝 찍혔습니다
사설 수리이력없고 배터리도 바꾼적 없습니다
문의주세요"
220281748,2025-10-01,719,103,판매완료,Pro,128.0,,B,Unknown,400000,아이폰 15프로 15pro 128g 판매합니다,https://web.joongna.com/product/220281748,
220192847,2025-09-28,716,103,판매완료,Pro,1024.0,,B,Unknown,1250000,아이폰 15 프로 맥스 1테라 입니다,https://web.joongna.com/product/220192847,
220176790,2025-09-28,716,103,판매완료,Pro Max,1024.0,,B,Unknown,1200000,아이폰 15 프로맥스 1테라 홍콩판 팝니다,https://web.joongna.com/product/220176790,
219769990,2025-09-26,714,103,판매완료,Pro,256.0,,B,Unknown,1600000,아이폰15pro 256g 화이트,https://web.joongna.com/product/219769990,
219961657,2025-09-26,714,103,판매완료,Normal,128.0,,B,Unknown,420000,아이폰15 128G 블루,https://web.joongna.com/product/219961657,
220280933,2025-10-01,719,103,판매완료,Normal,256.0,84.0,C,Unknown,500000,아이폰 15 핑크 256 풀박스 84%,https://web.joongna.com/product/220280933,
220365351,2025-10-05,723,104,판매완료,Pro Max,512.0,,A,Unknown,1300000,아이폰15프로맥스 512 네추럴 자급제 리퍼폰,https://web.joongna.com/product/220365351,
221235872,2025-10-30,748,107,판매완료,Pro Max,512.0,,B,Unknown,1200000,아이폰 15프로맥스 512 화이트,https://web.joongna.com/product/221235872,
220939751,2025-10-29,747,107,판매완료,Pro,1024.0,,B,Unknown,1200000,[판매] 아이폰15PRO / 1TB / 티타늄블루,https://web.joongna.com/product/220939751,
221536070,2025-11-07,756,109,판매완료,Pro Max,1024.0,,B,Unknown,1300000,아이폰 15 프로맥스 1테라 내츄럴티타늄,https://web.joongna.com/product/221536070,
221804216,2025-11-14,763,110,판매완료,Pro,1024.0,,A,Unknown,1250000,아이폰 15프로 1테라 리퍼폰,https://web.joongna.com/product/221804216,
220652428,2025-11-27,776,111,판매완료,Pro Max,1024.0,,B,Unknown,1500000,아이폰15프로맥스1테라 네추럴 티타늄 팝니다,https://web.joongna.com/product/220652428,
222049067,2025-11-21,770,111,판매완료,Pro Max,1024.0,,B,Unknown,1800000,아이폰 15 Pro Max 블루티타늄. 1TB 판매합니다!,https://web.joongna.com/product/222049067,
222388498,2025-12-01,780,112,판매완료,Normal,,,B,Unknown,410000,아이폰15 125GB 블랙,https://web.joongna.com/product/222388498,
